ID,Tolid,Tool,True Positives (TP),False Positives (FP),False Negatives (FN),True Negatives (TN),Precision,Recall,Accuracy,F1-score,Reference TP,Reference TN,Non classified,Reference chromosome scaffolds,Chromosome scaffolds classified
RC-2962,iyAndClar1,sourmash_db_filter_published_assembly,1259,35,16,1,0.972952086553323,0.9874509803921568,0.9610983981693364,0.9801479174776179,1275,36,691,23,23
RC-2962,iyAndClar1,sourmash_db_filter_topN_3,556,10,719,26,0.9823321554770318,0.43607843137254904,0.4439359267734554,0.6040195545898968,1275,36,691,23,23
RC-2962,iyAndClar1,sourmash_db_filter_topN_10,556,18,719,18,0.9686411149825784,0.43607843137254904,0.43783371472158655,0.6014061654948621,1275,36,691,23,23
RC-2962,iyAndClar1,sourmash_db_filter_topN_50,573,20,702,16,0.9662731871838112,0.44941176470588234,0.4492753623188406,0.6134903640256959,1275,36,691,23,23
RC-2962,iyAndClar1,sourmash_db_filter_topN_100,576,20,699,16,0.9664429530201343,0.45176470588235296,0.45156369183829137,0.6157135221806521,1275,36,691,23,23
RC-2962,iyAndClar1,sourmash_db_filter_containment_0%,583,20,692,16,0.966832504145937,0.45725490196078433,0.4569031273836766,0.6208732694355699,1275,36,691,23,23
RC-2962,iyAndClar1,sourmash_db_filter_containment_1%,583,20,692,16,0.966832504145937,0.45725490196078433,0.4569031273836766,0.6208732694355699,1275,36,691,23,23
RC-2962,iyAndClar1,sourmash_db_filter_containment_10%,267,15,1008,21,0.9468085106382979,0.20941176470588235,0.21967963386727687,0.34296724470134876,1275,36,691,23,17
RC-2962,iyAndClar1,sourmash_db_filter_containment_20%,172,13,1103,23,0.9297297297297298,0.1349019607843137,0.14874141876430205,0.23561643835616436,1275,36,691,23,0
RC-2962,iyAndClar1,sourmash_db_filter_kmers_2,386,19,889,17,0.9530864197530864,0.3027450980392157,0.30739893211289093,0.4595238095238095,1275,36,691,23,21
RC-2962,iyAndClar1,sourmash_db_filter_kmers_10,248,15,1027,21,0.9429657794676806,0.19450980392156864,0.2051868802440885,0.32249674902470743,1275,36,691,23,20
